Marital_Status,Kidhome,Teenhome,Education_Level,Income,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,AcceptedCmpOverall,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Customer_Days,MntRegularProds,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Response,Z_CostContact,Z_Revenue
Single,0,0,Graduation,57922,36,113,15,63,18,10,9,228,1,0,0,0,0,1,35.0,0,664,219,4,7,0,0,5,0,3,11
Married,2,1,PhD,106540,29,0,63,0,63,103,0,229,1,1,1,0,0,1,49.0,0,2589,229,1,3,7,5,4,1,3,11
Single,0,0,Graduation,59407,71,108,11,64,18,22,13,236,1,0,0,0,0,0,36.0,0,4759,223,2,6,0,0,3,0,3,11
Single,0,0,Master,79053,24,156,17,83,18,24,11,309,1,0,1,0,0,0,61.0,0,3515,298,5,8,5,4,5,0,3,11
Single,0,0,PhD,88102,57,156,25,87,31,19,16,334,1,0,1,0,0,0,37.0,1,4816,318,4,1,0,0,7,0,3,11
Married,0,2,Graduation,73040,46,0,20,83,80,60,0,243,0,0,0,0,0,1,33.0,1,2020,243,2,4,1,3,7,0,3,11
Married,2,2,Graduation,62137,33,0,47,0,56,81,0,184,1,0,0,0,0,1,34.0,0,1963,184,3,2,2,2,7,0,3,11
Single,1,0,Master,69586,41,70,19,33,30,35,6,193,0,0,1,0,0,0,37.0,0,3613,187,1,6,4,4,6,0,3,11
Married,2,0,Master,72888,63,0,37,0,21,54,0,112,1,0,0,0,0,0,40.0,0,4141,112,0,8,0,3,8,0,3,11
Married,0,2,Graduation,76949,51,0,19,75,79,38,0,211,1,0,0,0,0,0,42.0,0,4638,211,3,5,3,0,5,0,3,11
Single,0,0,Graduation,69337,34,116,13,68,29,10,15,251,1,0,0,0,0,0,52.0,0,1028,236,3,2,1,2,2,0,3,11
Married,1,2,Graduation,43440,31,0,14,26,55,46,0,141,1,0,0,0,0,0,33.0,0,4991,141,2,8,0,3,8,0,3,11
Single,0,0,Graduation,68064,26,138,14,72,23,20,24,291,1,0,0,0,0,0,34.0,0,2986,267,2,4,1,3,2,0,3,11
Single,1,0,Master,113879,54,108,50,46,40,62,10,316,1,0,0,0,0,0,44.0,0,4551,306,8,7,1,10,7,1,3,11
Together,1,1,Graduation,61248,34,0,20,23,43,38,0,124,1,0,0,0,0,0,59.0,0,533,124,3,8,4,2,8,0,3,11
Widow,1,0,Graduation,92833,6,105,31,50,32,53,9,280,1,0,0,0,1,0,61.0,0,4885,271,5,4,4,3,5,0,3,11
Together,0,0,Graduation,77129,5,149,16,81,18,16,9,289,1,0,0,0,0,0,41.0,0,1421,280,1,1,1,1,4,0,3,11
Single,0,0,Graduation,38365,37,85,10,38,8,9,8,158,1,0,0,0,1,0,40.0,0,1153,150,4,6,2,2,4,0,3,11
Single,0,0,Graduation,70465,30,132,11,82,21,21,20,287,1,0,0,0,1,0,42.0,0,1923,267,1,3,4,3,2,0,3,11
Married,1,2,Graduation,60390,22,0,28,25,60,79,0,192,1,0,0,1,0,0,42.0,0,1725,192,4,1,4,1,13,0,3,11
Married,1,0,Graduation,70037,34,69,34,32,23,38,9,205,1,0,0,0,0,0,37.0,0,4899,196,2,1,2,0,6,0,3,11
Single,0,0,Graduation,41110,65,69,8,47,8,8,12,152,0,0,0,1,0,0,23.0,0,1795,140,1,4,1,3,6,0,3,11
Married,2,0,2n Cycle,74634,53,0,44,0,21,71,0,136,1,0,0,0,0,0,39.0,0,4624,136,2,3,1,3,2,1,3,11
Single,0,0,Graduation,57884,77,130,10,51,15,19,16,241,0,0,0,0,0,0,37.0,0,1985,225,7,4,0,6,6,0,3,11
Together,2,2,Master,93179,46,0,56,0,93,119,0,268,1,0,0,0,0,0,60.0,0,3585,268,3,4,2,5,9,0,3,11
Single,0,0,Master,49606,54,104,8,57,20,11,12,212,0,0,0,0,0,0,47.0,0,1442,200,3,5,3,3,6,0,3,11
Married,2,1,Graduation,86630,5,0,55,0,68,83,0,206,1,0,0,0,0,0,50.0,0,4373,206,7,4,3,2,6,0,3,11
Single,0,0,Graduation,69320,55,144,11,62,25,12,11,265,1,0,0,0,1,0,44.0,0,1208,254,6,5,4,5,4,1,3,11
Married,1,0,Master,67125,14,61,28,41,21,39,6,196,0,0,0,0,0,0,33.0,0,4086,190,2,3,2,4,5,0,3,11
Married,1,1,Graduation,49816,39,0,22,32,43,32,0,129,0,0,0,0,0,0,30.0,0,1710,129,1,4,1,4,5,0,3,11
Single,0,0,PhD,75651,20,163,16,75,20,26,19,319,1,0,0,0,0,0,38.0,0,2764,300,5,2,1,1,4,0,3,11
Widow,0,0,PhD,98549,69,193,11,93,36,24,21,378,1,0,0,0,0,0,33.0,0,4668,357,4,2,1,6,4,0,3,11
Married,0,0,Graduation,57016,50,132,8,63,19,13,7,242,0,0,0,0,0,0,61.0,0,3214,235,1,7,6,3,6,0,3,11
Together,0,0,Graduation,51764,41,111,10,66,19,12,9,227,1,0,0,0,0,0,28.0,0,492,218,4,3,2,1,5,0,3,11
Together,0,2,Graduation,80856,25,0,17,98,83,66,0,264,1,1,0,1,0,0,56.0,0,375,264,0,2,5,3,9,0,3,11
Married,0,0,Graduation,61277,43,106,15,58,17,15,16,227,1,0,0,0,0,0,38.0,0,4598,211,1,2,1,4,8,0,3,11
Together,1,2,PhD,91698,14,0,43,52,88,98,0,281,1,0,0,0,0,0,33.0,0,2827,281,10,3,2,6,8,0,3,11
Single,0,0,PhD,98282,35,180,18,95,34,24,27,378,1,1,1,0,0,0,49.0,0,752,351,5,5,2,5,6,0,3,11
Single,0,0,2n Cycle,45936,15,93,6,45,18,15,10,187,1,0,0,0,0,0,43.0,0,3590,177,2,0,1,4,8,0,3,11
Single,0,0,Graduation,44257,31,97,8,54,16,12,5,192,1,0,0,0,0,0,30.0,0,3498,187,3,4,2,2,2,0,3,11
Single,0,0,Graduation,76079,24,156,20,83,26,18,16,319,0,0,0,1,0,0,38.0,0,2472,303,4,4,0,2,6,0,3,11
Single,0,0,Graduation,58517,51,118,12,74,18,11,10,243,0,0,0,0,1,0,41.0,0,578,233,2,4,1,1,4,0,3,11
Single,1,0,Graduation,56418,39,52,23,35,14,23,2,149,0,0,0,0,0,0,38.0,0,1317,147,2,5,1,0,6,0,3,11
Together,2,2,PhD,104429,32,0,78,0,104,148,0,330,1,0,0,0,0,0,39.0,0,726,330,4,3,3,7,8,1,3,11
Single,0,0,Graduation,58982,37,107,14,75,17,11,8,232,0,0,0,0,0,0,32.0,0,1484,224,0,7,2,7,4,0,3,11
Single,0,0,2n Cycle,62164,45,152,18,71,22,15,12,290,1,0,0,1,0,0,48.0,0,3288,278,2,5,3,3,5,0,3,11
Married,1,0,Basic,35827,10,31,9,17,15,18,5,95,1,0,0,0,0,1,18.0,0,3716,90,0,3,1,1,8,0,3,11
Single,0,0,Graduation,61854,57,108,12,58,25,18,11,232,1,0,0,0,1,0,47.0,0,4355,221,0,3,2,1,4,0,3,11
Together,1,1,Graduation,52780,53,0,25,28,28,29,0,110,0,0,0,0,0,0,43.0,0,4264,110,0,2,2,0,6,0,3,11
Single,0,0,Graduation,55395,54,115,10,56,17,19,8,225,0,0,0,0,0,0,39.0,0,1999,217,3,9,1,5,5,0,3,11
Widow,0,0,Graduation,69512,29,141,14,81,21,17,22,296,1,0,1,0,0,0,49.0,0,3231,274,4,0,2,3,12,0,3,11
Married,0,2,Master,99520,38,0,19,106,94,89,0,308,1,0,0,0,1,0,49.0,0,3021,308,5,4,6,4,9,1,3,11
Single,0,0,Graduation,53053,47,113,9,47,17,12,13,211,0,0,0,0,0,0,51.0,0,542,198,2,3,4,1,3,0,3,11
Single,0,0,Graduation,54978,15,96,8,51,20,10,8,193,0,0,0,0,0,0,44.0,0,996,185,4,5,1,1,5,0,3,11
Together,0,0,Master,96017,59,191,24,91,38,24,24,392,1,0,0,0,1,0,29.0,0,2686,368,6,4,2,0,3,0,3,11
Married,1,1,Master,74647,16,0,31,26,57,64,0,178,1,0,0,0,1,0,44.0,0,3589,178,6,2,2,2,4,0,3,11
Married,2,1,Graduation,63693,37,0,32,0,50,44,0,126,0,0,0,0,0,0,36.0,0,1465,126,0,2,0,5,8,0,3,11
Married,0,1,Graduation,89500,36,104,15,100,56,55,11,341,1,0,0,1,0,0,51.0,0,4305,330,4,1,4,2,5,0,3,11
Single,0,0,Master,70239,63,106,10,78,21,22,13,250,1,0,0,0,0,0,41.0,1,4666,237,3,4,0,5,10,0,3,11
Single,0,0,2n Cycle,59316,31,97,14,52,19,21,13,216,0,0,0,0,0,0,53.0,0,2619,203,5,2,3,1,5,0,3,11
Single,0,0,Graduation,67483,35,148,16,77,19,16,8,284,0,0,0,0,0,1,41.0,0,1191,276,6,4,1,3,3,0,3,11
Together,1,2,Graduation,86094,36,0,24,42,76,86,0,228,1,0,0,0,1,1,55.0,0,562,228,5,3,1,1,14,0,3,11
Married,2,0,Graduation,57490,25,0,34,0,13,41,0,88,1,0,0,0,0,0,36.0,0,189,88,5,4,0,0,5,0,3,11
Single,0,0,Graduation,80166,63,158,14,92,33,16,16,329,0,0,0,0,0,0,32.0,0,4415,313,4,0,0,2,6,0,3,11
Single,0,0,Graduation,40594,34,57,8,34,8,12,3,122,1,0,0,0,0,0,43.0,0,1098,119,1,2,0,1,7,0,3,11
Single,0,0,Master,57769,53,119,13,49,23,13,9,226,1,0,0,0,0,0,41.0,1,3527,217,5,8,1,2,1,0,3,11
Single,0,0,Master,56550,44,124,13,39,19,16,10,221,1,0,0,0,0,0,38.0,0,1609,211,2,6,3,3,4,0,3,11
Married,2,2,PhD,87884,11,0,42,0,89,118,0,249,1,0,0,0,0,0,54.0,0,2404,249,3,4,5,4,4,0,3,11
Married,2,2,2n Cycle,56746,44,0,31,0,54,70,0,155,0,0,0,0,0,0,36.0,0,2520,155,5,0,1,3,5,0,3,11
Together,2,2,Graduation,85064,5,0,43,0,77,110,0,230,1,0,0,1,0,0,31.0,0,3473,230,3,1,0,2,8,0,3,11
Married,0,0,Master,87801,49,159,17,90,28,25,14,333,0,0,0,0,0,0,41.0,0,3615,319,2,4,0,4,6,0,3,11
Single,0,0,Graduation,62780,6,119,6,74,17,16,11,243,1,0,0,0,0,0,30.0,0,1162,232,6,2,2,0,3,1,3,11
Married,0,1,Graduation,59827,43,60,9,58,42,32,5,206,1,1,0,0,0,0,37.0,0,4690,201,2,1,7,3,5,0,3,11
Married,1,1,Graduation,94020,48,0,39,48,69,51,0,207,1,1,0,0,0,0,41.0,0,4349,207,8,1,2,1,2,0,3,11
Married,2,2,Graduation,74475,20,0,42,0,65,92,0,199,1,0,0,0,1,0,57.0,0,847,199,3,4,5,6,9,0,3,11
Married,0,1,Graduation,69238,41,59,13,69,47,33,6,227,1,0,0,0,0,0,27.0,0,3475,221,4,2,2,2,6,0,3,11
Married,0,1,Graduation,70959,63,92,8,66,66,47,4,283,0,0,0,0,0,0,44.0,0,368,279,1,4,5,4,3,0,3,11
Married,1,1,PhD,86671,47,0,28,51,50,76,0,205,1,0,0,0,0,0,44.0,0,152,205,7,1,2,6,5,0,3,11
Married,1,2,2n Cycle,80691,0,0,33,34,81,81,0,229,1,0,0,1,0,0,34.0,0,4144,229,4,3,2,4,3,0,3,11
Single,0,0,PhD,96955,32,198,19,93,31,23,15,379,1,0,0,0,0,0,53.0,1,4916,364,7,2,5,2,2,1,3,11
Single,0,0,Master,56110,40,91,12,50,22,11,15,201,1,1,0,0,0,0,49.0,0,4972,186,4,3,2,1,7,0,3,11
Single,0,0,Graduation,53215,49,109,12,43,18,10,8,200,0,0,0,0,0,0,33.0,0,1590,192,0,7,2,2,4,0,3,11
Married,0,0,Master,70963,41,129,15,65,27,17,19,272,1,0,0,0,0,1,30.0,0,1229,253,3,2,2,2,3,0,3,11
Single,0,0,Master,74797,34,134,18,93,25,19,13,302,1,0,0,0,0,0,52.0,0,283,289,2,5,0,3,6,0,3,11
Married,0,1,Graduation,87970,27,111,23,97,57,46,6,340,1,0,0,0,0,0,31.0,0,143,334,1,5,0,5,6,0,3,11
Together,0,2,Graduation,45404,13,0,4,41,45,31,0,121,0,0,0,0,0,0,39.0,0,2460,121,7,5,0,3,8,0,3,11
Single,0,0,Graduation,47304,30,85,6,52,12,11,8,174,1,0,0,0,0,0,47.0,0,1441,166,1,4,4,1,9,0,3,11
Married,0,0,Graduation,67846,55,136,12,67,29,19,19,282,1,0,0,1,0,0,43.0,0,3173,263,1,5,4,5,6,0,3,11
Married,2,0,Graduation,81006,16,0,48,0,27,58,0,133,1,0,0,0,0,0,33.0,0,173,133,5,2,0,2,7,0,3,11
Single,1,0,Graduation,48885,28,54,12,15,25,19,6,131,1,0,0,0,0,0,51.0,0,2932,125,4,2,3,0,7,0,3,11
Single,0,0,Graduation,57209,22,118,14,52,21,12,13,230,1,0,0,0,0,0,49.0,0,4858,217,3,5,1,3,7,0,3,11
Single,0,0,Graduation,52177,50,101,10,47,32,10,10,210,0,0,0,0,0,0,44.0,0,2838,200,1,3,1,1,9,0,3,11
Single,0,0,Graduation,74362,56,152,20,75,25,18,22,312,0,0,0,0,0,0,30.0,0,3938,290,2,5,0,3,3,0,3,11
Together,0,0,Graduation,64356,61,137,20,58,31,9,10,265,0,0,0,0,0,0,49.0,0,1215,255,3,8,2,0,7,1,3,11
Together,0,2,Master,62069,27,0,7,73,73,38,0,191,1,0,0,0,0,0,58.0,0,790,191,1,6,4,3,11,0,3,11
Married,0,1,Graduation,55354,38,42,13,60,41,35,5,196,0,0,1,0,0,0,35.0,0,996,191,1,8,1,1,6,0,3,11
Together,1,0,Master,67059,38,75,30,31,28,34,12,210,0,0,0,0,0,0,29.0,0,942,198,9,2,7,1,7,0,3,11
Together,0,0,Graduation,62040,37,114,18,53,21,17,11,234,1,0,0,0,0,0,37.0,0,3139,223,4,5,0,1,4,0,3,11
Single,0,0,Graduation,75709,47,157,17,96,27,20,13,330,1,0,0,0,0,0,41.0,0,2787,317,3,4,1,5,8,0,3,11
Together,1,1,Graduation,81272,48,0,38,40,50,47,0,175,0,0,0,1,0,0,30.0,0,1463,175,7,0,0,6,2,0,3,11
Married,1,1,Basic,42253,50,0,15,21,37,28,0,101,1,0,0,0,1,0,22.0,0,3030,101,2,2,1,2,6,0,3,11
Together,0,1,PhD,97768,32,88,17,117,71,35,8,336,1,1,0,0,1,0,19.0,0,3154,328,5,3,0,4,5,1,3,11
Together,1,0,Basic,63688,30,68,22,36,27,31,9,193,0,0,0,1,0,0,24.0,0,1578,184,4,3,1,2,7,0,3,11
Single,0,0,Graduation,55034,27,96,11,62,24,25,7,225,0,0,0,0,0,0,32.0,0,4146,218,1,3,1,1,12,0,3,11
Single,0,0,2n Cycle,69369,17,144,11,90,18,19,15,297,1,0,0,0,0,0,25.0,0,4846,282,1,2,2,1,4,0,3,11
Single,0,0,2n Cycle,46117,53,80,10,56,9,5,10,170,1,0,0,1,0,0,36.0,0,4536,160,1,4,1,2,9,0,3,11
Married,0,2,Master,86084,31,0,18,89,92,77,0,276,1,0,0,0,0,0,40.0,0,624,276,2,4,1,9,4,0,3,11
Together,0,2,Graduation,102378,29,0,12,105,100,75,0,292,1,1,0,0,0,0,62.0,0,2218,292,4,1,2,1,10,0,3,11
Together,1,2,Master,76458,64,0,31,32,69,83,0,215,1,0,0,0,0,1,53.0,0,3553,215,9,4,4,2,7,0,3,11
Single,0,0,Graduation,57873,68,125,13,50,19,11,11,229,1,0,0,0,0,0,52.0,0,824,218,2,4,3,3,2,0,3,11
Married,1,2,Graduation,53292,30,0,23,27,48,59,0,157,1,0,0,0,0,0,39.0,0,4739,157,2,3,3,1,11,0,3,11
Married,2,1,Graduation,74231,30,0,49,0,51,82,0,182,1,0,0,0,0,0,42.0,1,3378,182,7,3,0,5,9,0,3,11
Single,0,0,Graduation,77968,25,166,13,76,21,23,18,317,1,1,0,0,0,1,31.0,0,2393,299,0,1,1,4,6,0,3,11
Single,0,0,Master,59359,53,119,14,48,16,11,13,221,1,0,0,0,0,0,35.0,1,1891,208,3,8,1,2,5,0,3,11
Single,0,0,Graduation,71114,46,151,13,77,33,8,16,298,1,0,0,0,0,0,40.0,0,710,282,3,5,1,3,5,0,3,11
Together,0,2,Graduation,62050,20,0,8,68,72,53,0,201,1,0,0,0,0,0,58.0,0,1700,201,2,2,2,1,6,0,3,11
Single,0,0,PhD,74023,46,139,16,69,34,15,10,283,1,0,0,0,0,0,27.0,0,4371,273,4,3,2,5,6,0,3,11
Married,1,2,2n Cycle,75339,43,0,30,25,68,81,0,204,0,0,0,0,0,0,43.0,0,580,204,2,3,1,3,7,0,3,11
Married,2,0,Graduation,44602,66,0,25,0,21,40,0,86,0,0,0,0,0,0,49.0,0,986,86,1,5,1,0,6,0,3,11
Single,0,0,Graduation,60129,21,131,11,53,17,11,9,232,0,0,1,0,0,1,27.0,0,3156,223,5,6,1,0,5,0,3,11
Widow,0,0,2n Cycle,87805,24,176,15,73,25,18,18,325,1,1,0,0,0,1,42.0,0,392,307,3,2,2,2,1,0,3,11
Widow,0,0,Graduation,75227,40,160,23,77,35,12,16,323,0,0,0,0,0,0,50.0,0,1847,307,4,5,2,5,9,0,3,11
Single,0,0,Basic,50105,48,94,11,41,14,9,7,176,0,0,0,0,0,0,56.0,0,1262,169,5,3,6,1,5,0,3,11
Married,1,1,Master,78009,57,0,35,36,51,49,0,171,0,0,0,0,0,0,42.0,0,2087,171,1,3,2,4,8,0,3,11
Single,0,0,Graduation,91689,59,167,21,88,29,17,24,346,1,0,0,0,0,0,36.0,0,3452,322,3,1,5,2,7,0,3,11
Single,0,0,Master,75772,11,152,14,78,31,14,12,301,1,0,0,0,0,1,36.0,0,4171,289,4,8,1,1,4,1,3,11
Single,0,0,Graduation,43859,39,96,9,36,17,6,6,170,0,0,0,0,0,0,47.0,0,3225,164,0,3,2,3,2,0,3,11
Married,1,2,Graduation,60010,6,0,39,34,59,66,0,198,1,0,0,0,0,0,37.0,0,307,198,6,2,2,2,11,0,3,11
Married,0,2,Master,81409,12,0,17,87,80,55,0,239,1,0,0,0,0,0,48.0,0,1251,239,5,1,3,4,10,0,3,11
Single,0,0,PhD,98867,48,216,21,107,40,30,23,437,1,0,0,1,0,0,48.0,0,3982,414,5,4,6,6,6,0,3,11
Single,0,0,2n Cycle,67916,45,143,13,62,26,16,20,280,0,0,1,0,1,0,48.0,0,2736,260,3,5,2,4,9,1,3,11
Together,0,1,Graduation,80885,61,74,19,80,44,39,8,264,0,1,0,1,0,0,45.0,0,2877,256,3,2,2,3,8,0,3,11
Single,0,0,Master,53053,23,106,5,49,22,9,6,197,1,1,0,0,0,0,43.0,0,601,191,4,3,0,4,3,0,3,11
Single,0,0,PhD,89461,40,152,15,102,34,19,12,334,1,0,0,0,0,0,38.0,0,4691,322,3,2,3,6,6,0,3,11
Married,1,2,PhD,78933,18,0,39,43,87,78,0,247,1,0,0,0,0,0,60.0,0,3103,247,4,3,1,6,8,0,3,11
Widow,0,0,Graduation,76199,65,152,15,64,20,21,12,284,0,0,0,0,0,0,40.0,0,716,272,4,2,1,5,4,0,3,11
Single,0,0,Graduation,75751,28,174,19,79,17,25,19,333,1,0,1,0,0,0,42.0,0,4374,314,2,2,3,4,8,1,3,11
Married,2,1,2n Cycle,59470,32,0,37,0,30,44,0,111,1,1,0,0,0,1,51.0,0,2620,111,5,4,2,3,9,1,3,11
Married,2,0,PhD,68395,12,0,39,0,21,47,0,107,1,0,0,1,0,0,52.0,0,2312,107,2,3,4,0,6,0,3,11
Single,1,0,Graduation,57478,60,55,25,21,9,18,9,137,1,1,0,0,0,0,65.0,0,1540,128,3,3,5,2,4,0,3,11
Married,0,0,Graduation,74815,70,183,19,85,29,19,10,345,1,0,0,0,0,0,68.0,0,3694,335,2,3,3,7,7,0,3,11
Single,0,0,PhD,90243,30,182,21,92,33,18,15,361,1,0,0,0,0,0,21.0,0,1238,346,4,4,0,2,6,0,3,11
Married,1,2,2n Cycle,54663,17,0,13,30,58,45,0,146,1,0,0,0,0,0,42.0,0,3391,146,2,7,1,2,13,0,3,11
Married,0,2,Master,71688,36,0,6,74,74,56,0,210,0,0,0,0,0,0,36.0,0,4946,210,0,6,0,5,2,0,3,11
Married,1,2,Graduation,76228,15,0,18,40,63,70,0,191,1,0,0,0,0,0,35.0,0,3801,191,4,7,1,5,10,0,3,11
Single,0,0,2n Cycle,66187,60,144,17,59,29,26,16,291,1,0,0,0,0,0,27.0,0,1729,275,1,3,1,1,2,0,3,11
Together,0,1,Graduation,69043,44,68,15,75,48,30,5,241,0,0,0,0,1,0,32.0,0,146,236,1,6,1,5,9,0,3,11
Single,1,0,2n Cycle,55801,58,63,31,24,19,25,7,169,1,0,0,1,0,0,41.0,0,4948,162,3,3,3,1,5,0,3,11
Single,1,0,Graduation,51907,23,50,16,10,26,30,1,133,0,0,0,0,0,0,39.0,0,2466,132,2,4,1,1,5,0,3,11
Single,1,0,Graduation,76307,16,86,32,36,27,41,4,226,0,0,0,0,0,0,45.0,1,3628,222,1,2,4,0,4,0,3,11
Married,2,0,Basic,78203,37,0,41,0,28,48,0,117,1,0,0,0,0,0,44.0,0,2359,117,2,4,2,4,9,0,3,11
Married,2,1,PhD,81233,52,0,43,0,55,78,0,176,1,0,0,0,0,0,57.0,0,3686,176,6,3,1,2,13,1,3,11
Single,1,0,Graduation,55884,25,57,21,29,16,32,8,163,1,0,0,0,0,1,25.0,0,3573,155,2,3,1,3,5,0,3,11
Married,0,1,Graduation,83255,43,93,23,93,70,48,8,335,0,0,0,0,0,0,42.0,0,1880,327,2,4,1,5,2,0,3,11
Single,0,0,Graduation,65509,33,143,22,66,18,14,14,277,1,0,0,0,0,0,28.0,0,2600,263,5,8,2,7,6,0,3,11
Married,0,0,Graduation,81728,57,163,15,86,26,20,14,324,1,0,0,0,0,0,40.0,0,2715,310,5,3,5,1,4,0,3,11
Single,0,0,PhD,84065,28,175,16,77,35,16,14,333,1,0,0,0,0,0,25.0,0,2432,319,1,0,1,4,3,0,3,11
Married,2,0,Graduation,78695,36,0,52,0,25,54,0,131,0,0,0,0,0,0,18.0,0,351,131,3,6,1,0,11,0,3,11
Single,0,0,Graduation,56891,61,123,14,54,21,14,8,234,1,0,0,0,1,0,54.0,0,4241,226,4,1,6,0,9,0,3,11
Together,1,1,Master,43030,15,0,17,21,23,32,0,93,1,0,0,0,0,0,36.0,0,3827,93,1,2,1,1,8,0,3,11
Single,0,0,Graduation,65899,52,132,8,64,23,29,10,266,1,0,0,0,0,0,53.0,0,3736,256,5,6,2,3,5,0,3,11
Single,0,0,Graduation,73348,37,149,17,63,24,24,13,290,1,0,0,0,0,0,44.0,0,4363,277,3,5,3,7,3,0,3,11
Single,0,0,Master,74287,55,147,19,90,18,24,15,313,0,0,0,0,0,0,46.0,0,269,298,5,1,1,1,2,0,3,11
Together,1,2,Master,61809,34,0,13,28,68,52,0,161,1,0,0,0,0,1,42.0,0,3475,161,2,4,2,1,10,0,3,11
Together,0,1,Graduation,57317,33,67,7,62,40,36,6,218,1,1,0,0,0,0,49.0,0,2493,212,3,1,2,1,7,0,3,11
Single,0,0,Graduation,99856,38,220,27,85,32,20,15,399,1,0,0,0,0,0,39.0,0,1084,384,5,2,1,4,5,0,3,11
Married,0,2,PhD,95276,2,0,15,100,79,60,0,254,1,0,0,0,0,0,48.0,0,242,254,5,2,7,1,7,1,3,11
Together,2,1,Graduation,30783,44,0,17,0,19,33,0,69,0,0,0,0,0,0,48.0,0,1769,69,4,5,5,0,5,0,3,11
Married,0,2,Master,71386,61,0,14,72,77,56,0,219,1,0,1,0,0,0,47.0,0,2971,219,6,3,2,3,10,0,3,11
Married,2,2,PhD,86744,13,0,46,0,79,110,0,235,1,0,0,0,0,0,50.0,0,1758,235,3,3,1,4,10,0,3,11
Single,0,0,Master,51424,44,101,10,42,21,17,8,199,1,0,0,0,0,0,36.0,0,2964,191,2,0,0,3,1,0,3,11
Single,0,0,2n Cycle,56052,67,109,13,46,13,17,13,211,0,0,0,1,0,0,40.0,0,1286,198,3,1,1,2,2,0,3,11
Together,1,0,Graduation,58606,12,60,26,28,26,29,8,177,1,0,0,0,0,0,33.0,0,3456,169,3,4,1,1,10,0,3,11
Together,0,1,Graduation,68937,45,75,9,65,46,34,7,236,1,1,0,1,0,0,40.0,0,302,229,1,2,3,4,8,0,3,11
Married,1,2,Graduation,68728,53,0,29,36,68,70,0,203,0,0,0,0,0,0,44.0,0,3555,203,8,2,1,1,10,0,3,11
